,eta_d,c_hat,c_c,eta_c,tau_SD,c_d,E,lc,dt
385,0.95,2.0,350.0,0.95,10.0,350.0,4.049,8.633,52.749
472,0.95,2.0,700.0,0.5,30.0,350.0,1.737,0.763,59.898
633,0.5,2.0,490.0,2.0,10.0,490.0,2.076,7.018,42.194
391,0.95,2.0,350.0,0.95,30.0,350.0,7.597,9.855,82.563
373,0.95,2.0,350.0,0.25,10.0,350.0,0.176,0.091,57.603
419,0.5,2.0,490.0,2.0,30.0,350.0,3.749,9.61,53.368
528,0.5,2.0,35.0,2.0,30.0,490.0,5.337,14.998,57.453
689,0.95,2.0,700.0,0.5,10.0,490.0,0.429,0.255,46.8
151,0.95,2.0,350.0,0.95,30.0,35.0,8.708,11.163,60.993
795,0.5,2.0,350.0,2.0,10.0,700.0,2.183,7.427,47.497
314,0.95,2.0,35.0,0.25,30.0,350.0,3.264,1.379,95.832
791,0.5,2.0,350.0,0.95,30.0,700.0,0.806,0.568,102.788
157,0.25,2.0,490.0,0.95,10.0,35.0,0.002,0.002,12.43
159,0.25,2.0,490.0,0.95,30.0,35.0,0.14,0.079,32.904
872,0.25,2.0,700.0,2.0,30.0,700.0,0.0,0.0,inf
161,0.25,2.0,490.0,2.0,10.0,35.0,0.72,0.554,34.366
56,0.5,2.0,35.0,2.0,30.0,35.0,7.309,20.0,40.484
165,0.25,2.0,490.0,2.0,30.0,35.0,1.261,0.928,39.097
787,0.5,2.0,350.0,0.95,10.0,700.0,0.212,0.161,93.992
169,0.5,2.0,490.0,0.5,10.0,35.0,0.067,0.045,21.516
171,0.5,2.0,490.0,0.5,30.0,35.0,0.681,0.311,39.007
173,0.5,2.0,490.0,0.95,10.0,35.0,1.064,0.72,31.236
177,0.5,2.0,490.0,0.95,30.0,35.0,2.008,1.113,47.024
875,0.5,2.0,700.0,0.95,10.0,700.0,0.0,0.0,108.0
781,0.25,2.0,350.0,2.0,30.0,700.0,0.0,0.0,131.0
761,0.95,2.0,35.0,0.5,30.0,700.0,4.966,3.54,100.375
201,0.95,2.0,490.0,0.5,30.0,35.0,3.508,1.418,62.816
765,0.95,2.0,35.0,0.95,10.0,700.0,5.587,11.789,63.379
88,0.95,2.0,35.0,0.95,30.0,35.0,11.282,16.849,58.2
197,0.95,2.0,490.0,0.5,10.0,35.0,1.429,0.857,29.71
195,0.95,2.0,490.0,0.25,30.0,35.0,1.167,0.37,46.11
869,0.25,2.0,700.0,2.0,10.0,700.0,0.0,0.0,inf
44,0.5,2.0,35.0,0.95,30.0,35.0,4.231,4.265,50.325
771,0.95,2.0,35.0,0.95,30.0,700.0,8.175,13.265,81.298
878,0.5,2.0,700.0,0.95,30.0,700.0,0.0,0.0,99.667
187,0.5,2.0,490.0,2.0,30.0,35.0,4.922,11.965,41.889
777,0.25,2.0,350.0,2.0,10.0,700.0,0.0,0.0,73.5
49,0.5,2.0,35.0,2.0,10.0,35.0,4.293,17.237,25.652
181,0.5,2.0,490.0,2.0,10.0,35.0,2.992,10.448,25.925
193,0.95,2.0,490.0,0.25,10.0,35.0,0.13,0.079,19.117
39,0.5,2.0,35.0,0.95,10.0,35.0,2.695,3.678,33.398
801,0.5,2.0,350.0,2.0,30.0,700.0,3.029,8.821,56.49
145,0.95,2.0,350.0,0.95,10.0,35.0,4.463,9.697,32.947
