,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
DE0 0 X Store,0.017,0.081,240.408,337.077,376.807,51.551,0.005,0.008,157.225,275.598,0.036,0.04,0.009,0.119,0.085,0.068,184.635,0.098,0.097,0.021,0.091,0.118,666.492,45.242,0.143,0.044,430.82,0.147,0.032,0.011,0.024,793.223,0.01
DK0 0 X Store,0.074,103.973,154.194,233.248,242.258,136.663,0.006,0.01,148.317,204.911,53.313,0.062,0.01,133.012,0.022,0.163,0.32,2.704,271.389,323.455,0.095,197.635,0.062,0.025,363.608,0.026,0.037,0.137,0.04,71.309,0.018,0.083,0.037
DK3 0 X Store,0.007,0.01,0.038,14.614,20.877,0.013,0.004,0.005,0.026,1.958,0.009,0.054,0.009,79.143,14.856,14.315,26.092,36.737,156.774,174.522,0.108,120.326,32.53,20.091,182.029,6.478,31.058,0.254,0.036,53.181,0.077,34.441,23.943
EE6 0 X Store,0.007,0.009,0.024,0.472,3.469,0.011,0.004,0.005,0.019,0.061,0.01,0.043,0.009,15.714,13.907,0.153,47.029,7.376,53.31,58.924,0.104,26.65,87.61,25.498,63.892,3.159,74.158,0.204,0.033,9.787,0.044,96.83,4.723
ES0 0 X Store,0.011,0.032,23.683,92.578,107.373,1.307,0.005,0.006,13.16,71.187,0.02,0.042,0.009,29.218,64.348,0.089,133.261,0.421,154.126,182.48,0.094,65.016,369.295,101.585,188.223,0.179,189.477,0.189,0.033,2.454,0.037,424.57,0.019
ES2 0 X Store,1.148,3.837,5.488,4.94,5.306,4.89,0.005,0.01,5.475,5.348,2.454,0.045,0.009,7.609,11.095,0.105,15.852,1.932,12.915,22.367,0.097,8.779,40.35,15.295,27.195,2.88,24.526,0.233,0.035,7.053,0.087,42.205,0.03
FI3 0 X Store,0.005,0.005,0.011,3.842,5.191,0.006,0.004,0.004,0.01,0.029,0.006,0.039,0.009,1.143,65.374,0.119,89.938,0.544,14.309,25.68,0.109,2.572,125.456,76.647,33.942,53.129,114.615,0.769,0.031,0.433,38.618,137.694,0.062
FR0 0 X Store,0.013,0.033,43.185,119.823,137.133,0.136,0.005,0.007,23.703,70.661,0.023,0.046,0.009,0.27,0.025,0.087,0.787,0.157,0.741,48.161,0.089,0.378,383.695,0.033,87.973,0.025,93.191,0.127,0.036,0.02,0.017,518.598,0.014
GB4 0 X Store,11.467,24.836,36.087,69.801,72.387,27.041,0.006,0.07,30.838,56.733,17.845,0.111,0.01,57.439,38.382,8.021,57.266,32.618,82.123,106.258,0.176,69.729,71.837,48.197,124.071,26.027,61.786,6.878,0.045,38.797,18.101,67.006,19.564
GB5 0 X Store,230.133,767.719,976.151,1218.278,1311.13,854.97,0.007,0.017,922.684,1084.051,474.484,0.094,0.011,1053.5,717.228,0.897,1114.119,720.921,1731.215,2289.227,0.139,1339.713,1245.304,975.531,2533.367,441.953,1140.332,12.214,0.048,931.168,256.874,1355.005,364.488
GR0 0 X Store,0.006,0.007,1.293,12.79,16.302,0.013,0.004,0.005,0.038,6.42,0.008,0.038,0.008,0.771,0.015,0.058,1.252,0.114,16.017,16.688,0.073,4.642,38.843,0.027,16.822,0.013,15.805,0.086,0.032,0.021,0.009,59.37,0.009
HR0 0 X Store,0.004,0.003,0.004,0.004,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.034,0.008,0.057,0.007,0.047,0.083,0.06,0.038,0.008,0.068,0.05,0.018,0.007,0.052,0.009,0.011,0.079,0.029,0.006,0.008,0.02,0.006
HU0 0 X Store,0.004,0.003,0.004,0.004,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.034,0.008,0.056,0.007,0.047,0.089,0.06,0.036,0.007,0.068,0.049,0.015,0.007,0.048,0.01,0.01,0.079,0.029,0.006,0.008,0.017,0.006
IE4 0 X Store,0.049,0.725,4.173,11.585,14.711,1.369,0.006,0.013,3.83,8.502,0.345,0.109,0.011,45.226,88.74,9.787,118.442,28.456,83.974,89.043,0.213,56.27,218.783,107.541,102.964,77.18,152.078,36.286,0.044,33.307,57.114,209.517,16.702
IT0 0 X Store,0.007,0.01,0.054,17.042,27.918,0.016,0.004,0.005,0.033,0.958,0.01,0.039,0.008,0.147,0.01,0.058,0.137,0.089,12.88,160.126,0.075,0.207,23.307,0.01,221.223,0.012,0.028,0.091,0.032,0.011,0.01,158.697,0.008
IT1 0 X Store,0.014,6.673,15.266,19.318,19.177,10.492,0.004,0.006,12.34,17.439,0.126,0.04,0.008,0.226,0.011,0.061,0.189,0.1,16.793,21.073,0.075,2.017,17.422,0.012,24.859,0.013,0.607,0.091,0.033,0.013,0.01,23.266,0.009
LT6 0 X Store,0.006,0.007,0.012,0.019,0.013,0.008,0.004,0.005,0.012,0.019,0.008,0.04,0.009,0.261,0.053,0.097,0.605,0.25,0.179,0.036,0.092,0.234,0.134,0.054,0.241,0.051,0.083,0.15,0.032,0.023,0.024,0.145,0.027
