,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
EE6 0 OCGT,31541.151,31325.352,3503.225,3151.621,16.917,17.02,644.401,31002.699,3.472,5532.605,591.718,32385.833,9.152,741.55,620.798,3392.229,3138.231,15976.863,31171.028,24.244,643.668,12.562,93.236,6.432,11.379,2593.808,115.061,2426.719,137.741,514.802,570.335,32196.87,29.238,19.698,36.666,13.664,161.872,4617.106,5.965,1423.728,3746.412,24.743,25.874,97.382,7.922
ES0 0 OCGT,12.5,12.199,11.665,17.026,17026.491,10893.511,78056.973,11.815,2.802,118520.854,13.396,13.374,3.917,15.58,14.424,118047.904,118572.571,10.543,12.458,11886.449,114226.338,13.45,35.503,5.269,13.151,114357.01,11068.96,96.148,25.735,107282.558,13.051,11.147,12166.955,11429.391,20.288,31.144,70.66,118387.327,5.026,111535.173,117270.086,17326.601,11423.548,48310.468,6.366
ES2 0 OCGT,25.113,46.275,12.204,15.686,75590.223,71695.671,40454.995,248.085,53747.417,43638.478,14.042,16.137,9.016,14.551,15.249,44648.765,44709.475,12.442,167.503,72008.329,43719.959,78133.231,60.595,51624.05,81272.839,45814.706,72060.254,93.091,17.148,40597.959,12.938,18.429,70711.284,72128.506,39.698,73912.973,475.456,44238.924,47052.284,45226.875,47142.617,74031.567,71515.165,38289.692,62189.191
FI3 0 OCGT,420788.351,418226.085,443102.381,430520.01,2097.676,78259.914,8474.762,419723.172,5.679,8153.913,457835.336,421011.041,39.194,330522.868,449926.586,7679.5,10926.9,432230.031,418480.226,27187.794,15005.067,11.704,97.659,7.328,13.791,12279.689,73040.238,453523.823,340134.138,13720.067,453404.756,418245.514,10139.786,61722.156,43.822,21.754,148.038,6780.013,9.029,15346.68,8146.732,4850.073,79870.744,4696.303,8.554
FR0 0 OCGT,1711098.636,1579779.573,2630394.117,2201612.22,6.98,6.884,102.48,1476521.407,5.053,76.744,2953093.665,1935262.314,9.725,1720910.181,2834094.004,101.042,136.239,2465360.368,1442724.55,9.534,77.492,8.512,67.453,11.956,8.048,81.628,46.305,2579781.427,1212666.635,82.553,2895130.435,1847706.394,8.741,9.449,50.651,8.284,61.248,99.396,10.569,83.954,111.862,8.57,11.064,12.276,7.473
GB4 0 OCGT,3505.144,19319.252,3135.775,2977.541,16.964,23203.949,179.564,73010.825,1.667,191.142,2552.436,299.36,12.549,4782.814,4025.189,238.973,493.336,428.84,49213.278,155.426,138.83,9.195,77.945,6.453,7.415,211.789,34976.751,4058.073,554.353,184.056,2410.635,367.223,39.138,6155.234,60.263,13.817,90.944,302.676,5.223,133.995,425.723,26.638,36217.058,18.192,3.73
GB5 0 OCGT,1417614.34,1497366.659,1490939.197,1975346.157,108.419,295643.8,129.226,1530956.199,7.65,130132.321,1428198.567,1348079.85,5.283,1641702.825,1587711.012,291285.704,290802.017,1390682.577,1545388.406,158539.37,330.959,39.05,34.494,17.525,33.483,47994.771,309767.988,1579073.121,1517690.347,213.218,1503867.213,1427797.355,71783.783,254097.66,22.928,38.191,44.237,255535.23,15.419,9463.217,291955.435,31299.432,307875.134,14.985,9.663
GR0 0 OCGT,6.581,6.824,5.767,9.488,4.769,4.55,50.286,6.107,1.97,29.173,5.972,6.649,2.385,8.805,7.5,32.557,44.049,5.148,6.277,6.203,29.936,6.053,17.492,4.368,5.614,32.361,31.26,46.168,9.358,39.452,6.443,6.279,6.25,6.013,8.811,5.487,27.426,42.553,4.393,30.178,32.514,6.542,6.891,4.707,4.636
HR0 0 OCGT,10.744,10.984,9.463,13.87,7.737,7.718,80.88,10.109,7.474,54.492,9.348,10.666,3.269,13.137,11.635,59.143,87.552,8.546,10.819,10.083,56.784,9.623,29.79,8.962,9.576,56.966,51.24,66.577,13.982,66.369,9.873,10.152,10.481,9.799,14.545,8.81,46.062,74.089,10.873,53.164,60.373,10.297,11.985,7.779,14.112
HU0 0 OCGT,13.628,14.153,11.223,13.552,6.266,5.666,41.465,13.491,7.045,24.207,10.05,13.138,3.99,12.513,12.759,27.172,38.69,10.674,14.704,7.726,26.196,8.104,27.109,10.238,7.845,25.84,37.539,65.688,13.8,33.914,10.834,12.323,7.705,7.527,16.773,7.459,31.839,36.596,11.865,23.476,23.206,7.744,9.008,3.569,8.541
IE4 0 OCGT,201817.497,195759.788,169756.894,187894.614,18495.709,85422.831,31170.796,164478.711,2.789,92609.124,167502.068,190301.026,16.423,147933.982,174244.995,107548.866,118173.579,179914.863,179104.943,51340.632,70579.468,19.579,112.674,7.231,15.734,89015.792,142831.761,185411.168,119654.906,39140.187,171137.239,193734.617,41479.812,65558.164,85.417,85.05,173.03,96644.66,5.883,82431.637,115511.11,26575.78,137557.526,13428.934,6.339
IT0 0 OCGT,574308.597,551636.884,467945.559,176.119,811824.324,783812.053,1029730.249,598944.268,173706.197,932298.263,370808.307,556383.486,1012810.634,151829.627,390487.832,914410.793,907127.619,476804.602,598070.554,778419.662,963460.208,873473.21,564060.774,11.756,871788.117,943606.055,784173.557,346491.244,531031.289,991686.447,348278.607,564138.593,772438.224,780303.31,879350.101,865779.004,822101.926,918913.92,299.857,950653.541,907753.436,789774.42,784361.868,1023105.464,543161.942
IT1 0 OCGT,35.446,30.459,17.755,26.07,6.942,6.764,48.349,25.516,2.315,26.399,14.784,22.129,5.113,25.362,18.525,32.83,45.779,17.599,27.581,9.552,28.92,8.147,24.895,4.294,7.657,28.641,45.655,105.495,39.046,37.439,14.94,26.887,8.97,9.191,20.47,7.708,34.385,42.157,4.567,26.196,27.248,9.605,10.593,4.375,5.929
LT6 0 OCGT,43246.199,40360.12,3601.257,3261.367,6999.608,21685.257,650.001,41263.4,4.144,6269.883,603.705,44345.514,9.773,1514.969,634.171,3360.422,3220.19,17225.838,38721.063,19367.143,646.077,40.615,99.876,7.561,31.545,2579.577,16838.718,2469.154,401.699,514.828,583.414,38575.4,16917.435,21364.818,41.608,1764.733,169.662,4628.542,7.171,1424.309,3749.667,10099.91,22447.613,97.495,10.058
LU0 0 OCGT,168466.759,167686.635,151266.135,179578.026,14762.494,33065.162,27764.976,171550.584,15.809,10027.579,148361.758,127672.371,21.933,202176.036,141108.143,13024.805,14599.384,135684.96,172476.91,34042.381,7120.638,163.183,283.459,20.968,65.513,6402.385,33861.322,208182.274,197374.221,11521.872,144701.7,146741.987,34622.394,31185.017,118.534,298.868,3466.934,12432.055,19.358,6667.578,14237.368,26250.155,33517.981,33901.238,37.572
LV6 0 OCGT,19955.612,21467.751,3348.435,3043.787,6634.302,18979.831,645.684,20185.49,4.109,6188.937,593.163,19084.367,9.715,1476.826,622.237,3328.667,3160.257,13292.333,22216.001,16626.535,644.416,40.026,99.739,7.502,30.934,2574.82,15828.965,2439.37,396.49,510.551,570.119,23015.943,15215.412,18225.253,41.47,1728.771,169.597,4571.642,7.133,1420.709,3718.665,9447.074,18800.106,97.317,10.026
ME0 0 OCGT,9.464,9.763,8.145,12.34,8.748,8.217,67.642,8.854,5.608,44.762,8.023,9.337,3.196,12.402,10.15,50.899,72.207,7.454,9.375,10.76,45.63,11.831,22.601,8.108,11.756,47.554,55.478,58.828,14.251,55.035,8.533,8.934,11.676,10.212,13.112,10.551,37.224,63.578,8.686,43.563,51.162,11.074,12.726,6.625,13.554
MK0 0 OCGT,8.108,8.441,7.54,11.873,5.558,4.991,63.525,7.697,3.612,39.615,7.731,8.366,2.383,11.642,9.407,44.771,60.17,6.696,7.889,6.907,40.488,8.52,17.545,5.341,8.254,43.635,34.688,56.363,12.501,50.889,8.307,7.81,7.29,6.462,8.592,7.546,33.288,56.12,5.962,40.75,45.815,7.031,7.696,6.441,6.694
NL0 0 OCGT,733116.724,725739.801,797629.627,1175650.069,10.896,46590.087,219.615,771096.492,4.184,29148.021,870987.764,896895.948,12.862,1170129.839,780073.805,26587.122,27053.059,797054.831,770327.421,21490.838,688.965,8.875,68.857,10.556,8.405,29804.687,45789.716,1042553.073,605483.871,381.158,846398.119,636743.95,45.446,49132.097,57.501,9.05,58.77,27168.838,9.45,21357.783,26724.257,19.617,46115.185,24.208,7.236
NO3 0 OCGT,3.552,3.925,3.118,5.123,1.94,1.27,12.843,3.378,1.019,6.264,3.144,3.662,1.127,5.0,3.965,7.267,9.547,2.768,3.446,1.849,5.834,1.688,4.607,2.583,1.496,6.05,9.074,24.098,5.576,10.25,3.353,3.512,1.625,1.926,2.677,1.853,9.734,12.683,2.452,4.079,5.029,2.34,1.933,0.755,1.577
PL0 0 OCGT,377133.847,371417.776,556932.761,612764.81,430926.308,603712.469,339923.843,374833.033,5.021,375829.283,596429.152,425489.964,10.47,724544.254,612735.148,374343.512,382481.21,496219.724,379088.226,607074.171,396277.391,230867.797,273.353,8.968,131268.089,386522.455,619960.965,586332.992,725541.554,378993.41,600251.161,401786.183,586397.053,598991.958,63.551,338127.268,142042.645,370590.46,7.576,392432.428,378142.727,524485.634,605860.502,297765.541,15.263
PT0 0 OCGT,12.463,12.145,11.636,16.943,16991.69,10899.01,78051.864,11.787,2.803,117346.534,13.338,13.345,3.924,15.383,14.386,117386.042,118324.463,10.51,12.411,11854.843,114278.645,13.415,35.668,5.271,13.063,114066.511,11092.194,95.951,25.499,107039.474,13.025,11.104,12145.919,11394.309,20.277,31.251,70.518,118149.053,5.026,111496.421,116234.31,17392.69,11414.879,48128.723,6.316
RO0 0 OCGT,7.271,7.502,6.421,11.406,5.589,5.566,37.149,6.687,2.744,21.921,6.732,7.381,2.399,11.559,8.315,24.915,34.452,5.72,6.891,7.19,22.612,6.908,15.65,4.553,6.411,23.77,38.984,53.012,12.7,30.036,7.277,6.865,7.471,6.946,8.504,6.281,24.672,34.2,4.671,20.274,23.48,7.423,8.657,3.067,5.356
RS0 0 OCGT,8.391,8.656,7.482,12.052,12.175,11.086,81.484,7.759,5.104,55.095,7.634,8.477,2.673,11.727,9.454,61.269,83.442,6.697,8.103,14.52,60.739,22.507,19.433,6.729,23.453,64.281,74.699,57.16,12.806,69.9,8.179,7.934,17.506,13.028,10.026,17.248,39.446,74.05,7.446,60.661,65.988,15.386,16.819,7.95,9.826
SE3 0 OCGT,9.497,10.293,9.332,9.908,6.008,6.106,193.806,9.387,1.861,253.976,7.527,9.722,4.18,8.282,9.322,285.961,683.107,8.451,10.772,8.071,246.192,4.575,51.141,4.894,4.239,312.977,43.767,50.363,7.881,235.687,7.757,9.642,8.899,7.54,22.14,5.434,80.028,274.536,4.58,317.6,623.021,7.646,9.156,24.576,3.152
SI0 0 OCGT,15.896,16.409,14.805,18.758,49725.494,56155.302,368.762,15.161,30.492,388.426,13.457,16.233,3.908,17.027,16.618,444.702,642.831,13.462,17.232,55569.173,387.415,53052.248,50.491,9.568,52050.296,405.108,56274.827,89.895,19.221,305.61,13.756,15.149,54459.36,55055.052,19.54,47701.574,117.521,457.481,15.744,431.796,589.319,50118.043,56455.843,38.289,26846.756
SK0 0 OCGT,59954.355,57083.622,48079.442,155869.316,20.789,523.492,316.777,52793.362,25381.353,123.367,49300.064,41134.767,106.943,140169.711,43511.814,117.978,134.662,49133.951,56171.209,144.4,159.008,30.005,42047.135,10831.707,36.021,176.997,2304.379,46951.405,76173.09,196.651,54853.306,52993.625,97.574,164.337,20690.256,27.937,15833.91,149.258,45304.515,174.284,112.964,33.656,976.522,52.306,77.213
AL0 0 CCGT,-22.891,-22.732,-24.004,-48.971,-6.72,-4.931,-51.101,-20.72,-3.497,-26.604,-30.494,-24.315,-3.508,-52.021,-32.857,-33.145,-40.703,-20.213,-22.416,-7.01,-29.003,-6.753,-18.322,-4.543,-6.307,-29.676,-35.033,-222.05,-60.077,-42.263,-29.821,-22.441,-7.038,-7.088,-9.992,-6.871,-38.32,-48.51,-5.343,-21.721,-24.753,-8.088,-7.954,-3.788,-6.209
AT0 0 CCGT,-394161.107,-304163.894,-329157.967,-1871935.225,-12.243,-11.302,-61.271,-263063.816,-5.408,-32.625,-624318.824,-526316.154,-4.405,-2660868.85,-559509.864,-35.698,-46.484,-426352.792,-246705.123,-15.975,-34.275,-12.783,-25.05,-8.583,-11.674,-36.545,-79.98,-848693.404,-3223692.292,-49.208,-563509.742,-426281.436,-15.218,-15.807,-13.922,-12.065,-43.735,-53.895,-8.464,-26.518,-29.376,-15.202,-18.446,-4.061,-9.455
BA0 0 CCGT,-45.996,-45.515,-43.977,-75.385,-6.912,-6.219,-53.219,-43.466,-5.192,-29.402,-50.389,-45.998,-4.16,-103.236,-60.063,-36.132,-44.592,-38.926,-48.344,-8.764,-28.582,-8.102,-22.405,-6.135,-7.554,-29.757,-43.846,-336.077,-147.5,-43.007,-47.969,-46.465,-8.796,-8.868,-11.982,-7.945,-39.349,-52.242,-6.659,-22.599,-26.907,-8.654,-10.083,-3.946,-9.111
BE0 0 CCGT,-8486694.571,-8535994.721,-8405343.53,-8635131.669,-31.521,-41.178,-75.73,-8993253.091,-7.804,-43.776,-8213500.869,-8452721.788,-4.814,-9309680.69,-8231380.129,-46.311,-60.383,-8428988.228,-8834335.121,-51.481,-46.402,-20.315,-29.418,-9.883,-17.889,-48.16,-283.029,-8099100.007,-9208760.464,-61.115,-8161980.349,-8411508.701,-52.802,-51.598,-15.981,-22.101,-51.856,-69.937,-10.882,-36.283,-40.208,-40.847,-72.539,-5.237,-13.357
BG0 0 CCGT,-23.883,-23.438,-23.213,-60.77,-7.284,-5.459,-50.235,-21.488,-3.399,-26.562,-29.184,-24.614,-3.398,-78.301,-32.651,-31.088,-38.892,-19.886,-23.14,-7.802,-27.29,-7.349,-18.976,-4.449,-6.932,-29.374,-38.858,-244.892,-88.256,-41.309,-29.136,-23.257,-7.706,-7.7,-9.776,-7.303,-36.398,-47.145,-5.281,-21.102,-24.11,-8.753,-8.883,-3.547,-6.623
CH0 0 CCGT,-125.37,-115.863,-102.864,-116.152,-6.701,-5.364,-57.15,-113.386,-3.661,-29.803,-100.137,-123.138,-3.887,-117.371,-128.447,-33.162,-43.195,-100.687,-133.505,-7.68,-31.247,-6.574,-22.052,-5.641,-6.013,-33.337,-37.949,-584.939,-100.328,-44.985,-100.413,-122.795,-7.095,-7.868,-12.183,-6.603,-41.054,-49.783,-6.038,-24.097,-26.502,-8.186,-8.416,-3.66,-6.123
CZ0 0 CCGT,-5608713.673,-5600450.447,-5745427.195,-6617160.259,-22.766,-21.928,-77.706,-5654089.645,-11.08,-43.261,-5794745.704,-5695731.89,-5.544,-6991909.828,-5754299.969,-49.16,-62.816,-5641445.294,-5644229.554,-30.949,-46.438,-22.108,-31.748,-15.158,-20.554,-50.393,-154.543,-5992542.825,-7340752.256,-63.976,-5754075.496,-5669463.955,-30.706,-29.039,-17.989,-21.16,-54.073,-70.835,-14.587,-37.269,-40.153,-29.007,-37.547,-5.427,-21.803
DE0 0 CCGT,-4770638.96,-4747653.836,-5557595.379,-3813794.453,-18.132,-20.108,-76.697,-4668108.86,-5.85,-41.328,-5245162.704,-4829810.785,-4.692,-3716821.513,-5279204.222,-43.95,-58.871,-5216880.809,-4663650.244,-26.691,-42.983,-15.039,-27.555,-8.447,-13.625,-45.658,-137.005,-4496038.371,-3946727.82,-61.509,-5276140.456,-4866857.72,-23.982,-26.478,-15.317,-17.396,-53.681,-65.511,-8.878,-33.455,-37.375,-24.266,-30.788,-4.676,-11.162
DK0 0 CCGT,-70.343,-71.763,-45.688,-33.474,-4.52,-3.351,-44.176,-71.079,-2.124,-24.994,-37.775,-59.829,-3.503,-28.74,-51.661,-30.808,-38.405,-46.328,-80.863,-4.856,-27.549,-4.13,-17.385,-3.862,-3.697,-28.144,-23.933,-191.315,-26.566,-37.517,-38.594,-63.839,-4.404,-4.823,-10.07,-4.412,-31.93,-44.462,-4.021,-20.85,-23.107,-5.729,-5.4,-3.178,-3.681
DK3 0 CCGT,-8.791,-9.834,-7.913,-10.81,-5.529,-3.951,-39.588,-8.526,-2.568,-21.925,-7.519,-8.98,-2.918,-10.705,-9.224,-27.425,-34.985,-7.06,-9.098,-5.668,-23.371,-4.887,-15.24,-4.195,-4.469,-25.063,-28.408,-54.025,-11.576,-33.92,-8.032,-8.531,-5.541,-5.66,-8.586,-5.299,-29.228,-40.402,-4.627,-17.553,-20.927,-6.617,-6.326,-2.848,-4.37
EE6 0 CCGT,-66.199,-69.037,-66.213,-67.449,-8.366,-7.379,-48.185,-64.823,-3.598,-26.921,-62.838,-64.376,-4.016,-67.116,-75.21,-34.288,-42.431,-59.196,-72.445,-10.324,-29.566,-7.172,-18.476,-6.016,-6.445,-31.438,-52.761,-388.367,-58.067,-41.596,-60.238,-71.009,-10.397,-9.795,-11.229,-7.746,-33.972,-49.813,-6.342,-22.783,-25.29,-10.634,-12.055,-3.519,-6.337
ES0 0 CCGT,-35.021,-33.923,-31.929,-43.986,-8.222,-6.418,-95.807,-32.172,-2.81,-61.282,-37.05,-35.747,-3.637,-42.134,-43.242,-74.601,-92.92,-28.793,-35.231,-9.308,-66.027,-8.618,-24.346,-4.129,-7.644,-77.621,-45.111,-253.165,-41.347,-86.727,-36.819,-33.011,-9.103,-8.984,-12.562,-8.235,-54.194,-105.838,-4.63,-57.101,-63.157,-9.933,-10.494,-8.287,-6.098
ES2 0 CCGT,-45.995,-55.202,-29.912,-36.02,-134227.892,-137122.93,-115.79,-51.83,-111816.371,-86.091,-35.409,-36.953,-4.948,-34.437,-40.245,-112.002,-132.827,-30.126,-59.339,-136959.534,-81.732,-116680.445,-28.821,-173922.34,-113325.319,-110.377,-137517.712,-223.527,-30.991,-107.789,-33.186,-42.014,-136420.221,-137066.805,-15.348,-128295.95,-73.501,-150.116,-141728.78,-71.523,-94.578,-138865.067,-137065.618,-9.229,-104278.563
FI3 0 CCGT,-31.923,-34.641,-30.995,-32.482,-8.573,-10.201,-49.497,-31.611,-3.381,-26.231,-29.212,-31.98,-3.725,-31.324,-35.043,-32.038,-40.283,-27.195,-36.054,-11.88,-28.852,-7.642,-18.633,-5.854,-6.854,-29.76,-70.888,-176.966,-34.907,-41.096,-29.636,-33.652,-11.216,-12.994,-11.263,-7.936,-34.537,-47.202,-6.19,-22.151,-23.89,-11.767,-16.772,-3.593,-6.098
FR0 0 CCGT,-5158308.1,-5101320.131,-5623659.034,-5124117.014,-8.047,-6.996,-72.862,-4239561.661,-3.981,-40.769,-5743158.239,-5328339.449,-4.502,-4938635.769,-5701343.299,-43.96,-58.005,-5529870.353,-4402234.847,-9.634,-41.722,-8.267,-27.293,-6.589,-7.727,-44.759,-49.46,-5629286.412,-4289910.886,-59.026,-5829224.422,-5240630.053,-8.901,-9.915,-15.12,-7.89,-52.263,-65.882,-6.711,-32.629,-36.64,-9.929,-10.84,-4.775,-6.945
GB4 0 CCGT,-3864.493,-2164.556,-3150.841,-2426.666,-6.641,-8.097,-86.918,-6433.786,-2.618,-81.052,-2744.027,-1148.736,-5.586,-6075.611,-3687.387,-115.311,-160.52,-1392.452,-6277.556,-9.179,-70.191,-5.545,-29.05,-4.869,-5.077,-95.032,-61.35,-4509.548,-7908.354,-88.002,-1532.447,-1345.482,-8.409,-10.09,-16.191,-6.061,-53.525,-158.023,-5.075,-61.32,-114.814,-8.54,-14.161,-6.487,-4.79
GB5 0 CCGT,-5198843.2,-5581788.508,-3820339.008,-1134546.953,-6.203,-5.564,-62.655,-6401251.059,-2.628,-43.881,-3191787.045,-4329198.306,-4.581,-1654336.404,-3512862.618,-47.019,-63.293,-4022887.103,-6400177.845,-7.655,-39.679,-5.575,-25.524,-4.633,-5.027,-45.963,-40.776,-2099480.149,-3376243.14,-52.851,-3405692.763,-4700997.641,-6.991,-7.971,-14.342,-5.655,-45.427,-70.911,-4.791,-32.376,-41.765,-7.563,-9.311,-4.421,-4.459
GR0 0 CCGT,-17.792,-17.871,-16.505,-27.619,-5.674,-4.17,-46.991,-16.275,-2.763,-24.089,-18.155,-18.112,-3.392,-27.076,-22.211,-28.384,-35.653,-14.538,-17.223,-5.961,-25.785,-5.702,-17.99,-4.024,-5.308,-26.552,-30.0,-135.097,-29.741,-38.439,-19.005,-17.229,-5.733,-5.979,-9.594,-5.713,-34.869,-43.819,-4.676,-19.559,-21.981,-7.062,-6.611,-3.364,-5.25
HR0 0 CCGT,-65.109,-64.513,-63.852,-101.21,-11.511,-9.464,-64.261,-62.596,-6.635,-34.859,-72.943,-64.791,-4.875,-126.68,-86.714,-42.317,-52.397,-56.484,-71.679,-13.208,-37.282,-12.275,-27.006,-7.983,-11.815,-38.784,-66.751,-454.05,-171.196,-53.331,-67.485,-67.112,-13.671,-12.927,-14.617,-11.659,-49.376,-62.517,-8.64,-28.663,-33.022,-14.415,-15.731,-4.825,-12.277
HU0 0 CCGT,-55.799,-56.679,-48.194,-58.666,-8.265,-6.372,-52.938,-55.961,-4.517,-28.122,-47.558,-53.592,-3.891,-65.161,-60.288,-32.484,-41.045,-45.441,-63.096,-9.111,-28.279,-8.562,-21.792,-7.153,-7.961,-30.408,-45.591,-279.091,-86.408,-43.045,-49.028,-52.371,-8.971,-9.134,-11.773,-8.291,-39.005,-48.197,-6.976,-22.349,-25.285,-9.882,-10.407,-3.725,-8.264
IE4 0 CCGT,-1519574.229,-1534628.304,-1508666.414,-1571274.606,-11.048,-42.84,-139.196,-1612006.165,-3.703,-190.597,-1502873.695,-1513596.223,-6.993,-1733501.721,-1511622.096,-269.785,-367.703,-1505148.427,-1572680.705,-22.702,-149.764,-7.782,-39.019,-5.566,-7.214,-222.992,-730.743,-1441432.201,-1910052.608,-151.947,-1506892.109,-1513922.55,-20.035,-32.306,-21.303,-8.793,-70.35,-365.628,-6.189,-151.578,-294.194,-16.196,-170.335,-10.629,-6.737
IT0 0 CCGT,-7800943.738,-7559704.125,-8650381.62,-11044833.585,-26.136,-24.735,-3826914.853,-7236101.698,-7.279,-3384388.492,-9587738.063,-8199322.472,-926720.937,-9166217.167,-9151507.369,-3325734.784,-3292878.627,-8512270.152,-7278008.522,-33.234,-3525551.22,-33.414,-5212386.922,-7.004,-33.668,-3420545.291,-178.702,-11231629.153,-5371187.353,-3594099.457,-9372490.121,-8038483.013,-34.712,-33.382,-2761599.493,-26.991,-4474048.141,-3340328.723,-9.092,-3461004.583,-3299243.907,-31.68,-41.719,-3896226.622,-20.027
IT1 0 CCGT,-133.445,-113.569,-72.458,-90.946,-7.998,-6.239,-112.062,-98.32,-3.007,-59.962,-61.731,-91.174,-10.418,-105.437,-82.849,-80.798,-98.468,-72.086,-110.709,-8.979,-74.105,-8.588,-52.759,-4.63,-7.979,-74.989,-44.111,-406.644,-175.361,-97.875,-59.742,-117.826,-8.637,-8.865,-40.067,-8.244,-87.622,-107.879,-5.123,-59.66,-61.61,-9.98,-10.172,-9.649,-6.439
LT6 0 CCGT,-95.282,-98.603,-93.861,-105.463,-9.994,-9.145,-51.835,-90.269,-4.19,-29.251,-89.136,-90.264,-4.261,-117.106,-106.493,-35.991,-44.709,-84.796,-101.939,-12.684,-31.033,-8.595,-20.027,-7.221,-7.874,-32.986,-66.153,-553.733,-99.609,-44.546,-83.943,-103.153,-13.022,-12.142,-12.101,-9.234,-36.565,-52.727,-7.362,-24.182,-27.497,-13.052,-15.149,-3.74,-7.365
LU0 0 CCGT,-1559374.849,-1581921.981,-1408981.514,-992455.038,-19.251,-20.955,-76.473,-1659247.342,-5.631,-44.872,-1242959.289,-1535814.792,-4.555,-1313771.039,-1337263.877,-54.433,-67.72,-1493924.215,-1628843.568,-28.521,-49.191,-14.385,-28.266,-8.276,-12.519,-52.372,-152.761,-1149186.886,-1388430.312,-66.863,-1282738.431,-1545140.14,-29.119,-28.103,-14.739,-16.169,-49.636,-77.954,-8.297,-39.655,-44.018,-25.619,-36.451,-6.096,-10.763
LV6 0 CCGT,-94.683,-97.998,-93.473,-105.187,-9.855,-9.041,-50.894,-89.842,-4.133,-28.223,-89.14,-89.621,-4.226,-116.706,-105.792,-35.556,-43.874,-84.44,-101.36,-12.51,-30.499,-8.483,-19.707,-7.161,-7.76,-32.468,-65.358,-550.216,-98.816,-43.786,-83.255,-102.424,-12.927,-11.947,-11.893,-9.155,-35.591,-51.903,-7.279,-23.748,-26.552,-12.926,-14.984,-3.69,-7.321
ME0 0 CCGT,-41.538,-41.622,-38.091,-64.977,-10.17,-8.073,-60.521,-39.0,-5.557,-31.989,-42.042,-40.715,-4.347,-99.539,-51.982,-39.84,-49.641,-34.375,-43.706,-11.39,-34.277,-10.741,-24.149,-6.953,-10.348,-36.051,-56.967,-285.328,-191.602,-49.627,-40.771,-41.84,-11.671,-11.123,-13.247,-10.615,-45.532,-57.79,-7.75,-26.543,-30.395,-12.602,-13.082,-4.504,-10.752
MK0 0 CCGT,-28.047,-28.148,-29.985,-57.773,-6.473,-4.993,-51.44,-26.563,-3.498,-28.554,-37.507,-30.033,-3.458,-68.873,-41.054,-34.923,-43.449,-25.525,-28.14,-7.469,-27.787,-6.793,-18.54,-4.368,-6.297,-29.382,-36.737,-257.923,-91.895,-43.057,-36.356,-28.315,-7.391,-7.402,-9.872,-6.849,-37.286,-51.241,-5.423,-22.283,-26.548,-7.976,-8.279,-3.82,-6.147
NL0 0 CCGT,-4209503.516,-4090739.221,-3722511.386,-2424642.55,-9.183,-10.135,-63.994,-3812184.641,-3.269,-39.268,-3188639.744,-4331234.213,-4.233,-2240576.325,-3529486.776,-41.523,-55.337,-3960529.704,-3865327.508,-13.466,-40.573,-7.5,-23.697,-5.686,-6.61,-44.039,-72.826,-2748611.832,-2313352.94,-52.796,-3323774.956,-4338714.094,-11.926,-13.827,-13.256,-7.952,-43.232,-62.855,-5.733,-32.438,-36.346,-11.786,-16.788,-4.441,-5.897
NO3 0 CCGT,-5.657,-6.189,-4.935,-8.534,-2.937,-1.856,-19.707,-5.365,-1.555,-9.398,-5.066,-5.807,-1.731,-8.877,-6.376,-11.094,-14.374,-4.388,-5.433,-2.742,-9.2,-2.534,-6.997,-3.008,-2.265,-9.397,-13.489,-39.665,-10.308,-15.771,-5.428,-5.531,-2.409,-2.845,-4.098,-2.831,-15.224,-18.354,-3.221,-6.194,-7.539,-3.581,-2.862,-1.16,-2.427
PL0 0 CCGT,-3359682.303,-3358883.416,-3254728.89,-3220366.708,-13.53,-17.314,-69.938,-3308177.291,-5.131,-41.223,-3255212.895,-3291380.001,-4.5,-3056581.523,-3272272.805,-43.043,-57.902,-3249708.537,-3315764.315,-22.725,-42.143,-11.582,-24.944,-8.423,-10.922,-44.679,-121.16,-3247520.628,-2642073.571,-57.781,-3243246.695,-3330925.541,-21.119,-22.423,-14.485,-11.683,-47.083,-65.871,-8.253,-33.229,-37.241,-18.526,-27.916,-4.527,-9.31
PT0 0 CCGT,-34.864,-33.705,-31.8,-43.744,-8.363,-6.398,-95.536,-32.116,-2.815,-60.651,-36.719,-35.66,-3.681,-41.346,-43.067,-73.857,-92.272,-28.682,-35.023,-9.199,-66.598,-8.549,-24.795,-4.131,-7.56,-77.496,-44.877,-251.982,-40.506,-86.268,-36.448,-32.876,-9.073,-8.964,-12.656,-8.31,-53.324,-105.072,-4.641,-57.077,-62.328,-9.822,-10.64,-8.278,-6.002
RO0 0 CCGT,-22.046,-21.686,-20.731,-50.431,-6.892,-5.376,-47.899,-19.761,-3.368,-25.928,-25.33,-22.555,-3.399,-69.36,-28.955,-29.938,-37.743,-18.026,-21.11,-7.724,-26.441,-7.095,-18.459,-4.733,-6.726,-28.03,-38.313,-209.676,-89.833,-40.107,-25.807,-21.105,-7.438,-7.558,-9.861,-6.962,-36.536,-46.159,-5.417,-20.032,-23.44,-8.714,-8.606,-3.433,-6.492
